iter	Passed	Remaining
0	0	70
1	1	63
2	1	59
3	2	55
4	2	55
5	3	53
6	3	52
7	4	51
8	5	51
9	5	50
10	6	49
11	6	48
12	7	48
13	7	47
14	11	66
15	12	65
16	13	63
17	13	61
18	14	60
19	14	59
20	15	57
21	15	56
22	16	55
23	17	54
24	18	55
25	18	53
26	19	52
27	20	51
28	20	50
29	21	49
30	21	48
31	22	47
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	42
38	26	41
39	27	40
40	27	39
41	27	38
42	28	37
43	29	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	33	31
52	34	30
53	35	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	38	24
61	39	24
62	39	23
63	40	22
64	40	21
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	43	17
71	44	17
72	45	16
73	46	16
74	46	15
75	47	14
76	47	14
77	48	13
78	49	13
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	55	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
